new_Date,A069500 종가(원),A252650 종가(원),A251890 종가(원),A156080 종가(원),A226980 종가(원),A229200 종가(원)
2019-12-11,0.003930677,0.003384095,0.00551572,0.009527439,0.005938242,-0.001584786
2019-12-12,0.018152696,0.00955593,0.01810203,0.013590034,0.011216057,0.02010582
2019-12-13,0.015556721,0.01169265,0.004310345,0.022718808,0.004670169,0.008298755
2019-12-16,-0.000344234,-0.001100715,0.000536481,0.001456664,-0.001162115,-0.002572016
2019-12-17,0.013774105,0.002754821,0.006970509,0.016,0.002326934,0.015471893
2019-12-18,-0.000169837,-0.001098901,0.001064963,-0.001073729,-0.002321532,-0.00507872
2019-12-19,0.001019195,0.00220022,-0.001595745,0.001433178,0.001745201,0.003573252
2019-12-20,0.002206007,0,-0.002663825,0.002146691,0.0029036,0.004577823
2019-12-23,-0.000169319,0.006037322,0,-0.003927169,0.001737116,0.009113924
2019-12-24,-0.006435224,-0.002727769,-0.011217949,-0.004301075,-0.001156069,-0.016557953
2019-12-26,0.004090677,-0.001641138,0.011885467,-0.002159827,0.002893519,0.02755102
2019-12-27,0.01459854,0.017534247,0.018686599,0.018398268,0.017311021,0.017874876
2019-12-30,-0.003513468,0.001077006,0.01572327,0.001416932,0.003970505,0.016097561
2020-01-02,-0.010577569,-0.005379236,0.003611971,-0.010258224,-0.005649718,0.000480077
2020-01-03,-0.000169693,0.001622499,-0.005141388,-0.002144389,-0.003409091,-0.015355086
2020-01-06,-0.007637475,-0.021598272,-0.018604651,-0.007879656,-0.021664766,-0.027290448
2020-01-07,0.010090645,0.008278146,0.008425487,0.015884477,0.007575758,0.018537074
2020-01-08,-0.006434135,-0.02244116,-0.021932115,-0.008173419,-0.031810295,-0.034431874
2020-01-09,0.01670075,0.009518477,0.025627336,0.013256897,0.016726404,0.04686704
2020-01-10,0.008213208,0.002773156,0.00468506,0.012376238,0.007638073,0.008272506
2020-01-13,0.010307564,0.007190265,0.016062176,0.009081383,0.009329446,0.007722008
2020-01-14,0.004772091,0.009884679,0,0.009345794,0.005777008,-0.005747126
2020-01-15,-0.00589584,0.002175095,0.002039776,-0.009602195,0.005743825,-0.002408478
2020-01-16,0.010214168,0.000542594,0.008651399,0.006578947,-0.001142204,0.012071463
2020-01-17,0.002283105,-0.002711497,0.003531786,0.008943928,-0.003430532,-0.001431298
2020-01-20,0.007484543,-0.001631321,-0.006033183,0.011592226,-0.002294894,-0.009555662
2020-01-21,-0.011143411,-0.00708061,0,-0.011122346,-0.009775733,-0.013024602
2020-01-22,0.013228809,0.008776742,0.005563986,0.009884117,0.012775842,0.022971652
2020-01-23,-0.013056093,-0.006525285,-0.001509054,-0.012149848,-0.006307339,-0.011944577
2020-01-28,-0.030377266,-0.037766831,-0.037279597,-0.032798087,-0.031159838,-0.035299807
2020-01-29,0.003368705,0.003412969,0.013082156,0.006004945,-0.003573556,0.011528822
2020-01-30,-0.020480107,-0.013605442,-0.018078512,-0.020014045,-0.017931859,-0.022299306
2020-01-31,-0.010625536,-0.013793103,-0.020515518,-0.011823719,-0.016433354,-0.017232641
2020-02-03,0.001039321,-0.008741259,0.005907626,0.002538071,-0.006806931,0.014956163
2020-02-04,0.017130992,0.001763668,0.021890016,0.017359855,0.011214953,0.019308943
2020-02-05,0.004933651,0.008215962,0.003657262,0.010309278,0,-0.002492522
2020-02-06,0.029795158,0.028521537,0.013534617,0.027445461,0.028342575,0.021989005
2020-02-07,-0.008384021,-0.003961517,0.000513611,-0.009246575,-0.010784901,-0.000977995
2020-02-10,-0.00530504,-0.002840909,0,-0.005184929,0.000605694,0.005873715
2020-02-11,0.009666667,0.011965812,0.011293634,0.013898541,0.010290557,0.010705596
2020-02-12,0.008253549,0.006193694,0,0.003427005,0.004793289,0.0052961
2020-02-13,-0.002455796,-0.008393956,0.008121827,-0.00068306,-0.008944544,-0.001915709
2020-02-14,0.006072542,-0.003950339,0.004531722,0.005809979,-0.000601685,-0.001439539
2020-02-17,-0.000815661,0.001699717,0.003007519,0.000339789,0.001204094,0.004805382
2020-02-18,-0.015836735,-0.01300905,-0.012493753,-0.008152174,-0.012627781,-0.014825442
2020-02-19,0.001824818,-0.005157593,-0.009615385,-0.010958904,-0.006090134,0.001941748
2020-02-20,-0.0051333,-0.011520737,0.002554931,0.001038781,-0.013480392,-0.005329457
2020-02-21,-0.014314248,-0.017482517,-0.013251784,-0.016603251,-0.019875776,-0.025815879
2020-02-24,-0.037656197,-0.038552788,-0.04338843,-0.036581076,-0.043092522,-0.041
2020-02-25,0.011054571,0.008636644,0.026457883,0.009492516,0.016556291,0.035974974
2020-02-26,-0.014578271,-0.009785933,-0.003156234,-0.013743219,-0.004560261,0.002516356
2020-02-27,-0.010390983,-0.003088326,-0.024274406,-0.01320132,-0.006544503,-0.018072289
2020-02-28,-0.032212137,-0.022924411,-0.042725798,-0.032329989,-0.030961792,-0.036809816
